Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name|TDF_Voucher_Type|TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
28/05/2019 13:50:41:972|123|||USSDBrowsing|971520001138||||||||||||USSD|*222*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/05/2019 13:50:54:995|0009621559037011135|2530557055894|10.95.214.136|NACT|971520000962||NACT_Subscriber_Language_Change|0|SUCCESS|1001|1071|Subscriber_Language_Change|Others|0|0|23 Hours|WEB|ESERV NACT_UAE_Others_1071||5|2|ESERV|UAE|CS||true||||||||||||2019-05-28 13:50:54|2019-05-29 12:50:54||||Adhoc||||1|2530557055894|Your language is changed.|||||||||||||||||||||||||||false|
28/05/2019 13:51:40:885|155903710060550|||USSDBrowsing|971520001138||||||||||||USSD|*222*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/05/2019 13:52:00:410|11630310915370294|11630310915370294|10.95.214.136|AUTACT|971520003034||NACT_Daily_Saver_Bundle|0|SUCCESS|1001|996|Daily_Saver_Bundle|Combo|250|250|1 Days|WEB|RS NACT_UAE_Combo_996|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||2019-05-12 13:35:38|2019-06-02 13:52:00|2019-05-27 13:52:00|2019-06-01 13:52:00|active|Renewal||ACTIVE||2|11630310915370294|Your Daily Saver Bundle has been successfully renewed and AED 2.5 has been deducted from your More Time balance. Enjoy 50MB data, 5 min for national and international calls &amp; 5 flexi SMS valid for 24 hours. To check your balance anytime  dial *135*7#|||||||||||||||||||||||||||false|
28/05/2019 13:52:38:525|11630348914361410|11630348914361410|10.95.214.136|AUTACT|971520001840||NACT_HotelPrepaidAct|0|SUCCESS|1007|1684|HotelPrepaidAct|Others|0|0|1 Days|WEB|RS NACT_UAE_Others_1684|Reserve-Commit|0|2|RS|UAE|ScapV2|true|false||||||||||||2019-05-23 13:52:38|2019-05-30 13:52:00|2019-05-27 13:52:38|2019-05-29 13:52:00|active|Renewal||ACTIVE||2|11630348914361410|Your Existing Product is Renewed successfully.|||||||||||||||||||||||||||false|
28/05/2019 13:52:47:289|155903716702951|||USSDBrowsing|971520001138||||||||||||USSD|*222*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/05/2019 13:52:55:543|2348111276|2530557176462|10.95.214.136|RACT|971520000985||RACT_SFTier1|9001|FAILURE|1006|1694|SFTier1|Others|0|0|30 Days|WEB|TIBCO RACT_UAE_Others_1694||5|2|TIBCO|UAE|CS||false|||||||||||||||||Renewal||||0|2530557176462|You are not subscribed to the Value Back Offer. For more details on how to activate this offer, visit www.du.ae/valueback.|||||||||||||||||||||||||||false|
28/05/2019 13:53:07:787|155903716702951|||USSDBrowsing|971520001138||||||||||||USSD|*222*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/05/2019 13:53:19:293|155903719907352|||USSDBrowsing|971520001138||||||||||||USSD|*135*118*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/05/2019 13:53:27:070|155903720662153|||USSDBrowsing|971520001138||||||||||||USSD|*135*119*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
