Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name|TDF_Voucher_Type|TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
13/06/2019 12:23:06:995|1560414186839|||USSDBrowsing|971520001714||||||||||||USSD|*135*81#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:23:15:279|1560414186839|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:23:24:500|1560414186839|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:23:33:446|1560414186839|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*1*1*3*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:24:04:332|1560414186839|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*1*1*3*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:24:52:065|1560414291909|||USSDBrowsing|971520001714||||||||||||USSD|*135*81#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:25:01:270|1560414291909|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:25:10:122|1560414291909|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*3*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:25:18:998|1560414291909|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*3*1*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:25:49:617|1560414291909|||USSDBrowsing|971520001714||||||||||||USSD|*135*81*3*1*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:26:18:262|13007422233619158|13007422233619158|10.95.214.136|AUTACT|971520002448||NACT_NationalSMSBundle60_Recurring|0|SUCCESS|1051|1029|NationalSMSBundle60_Recurring|SMS|0|0|31 Days|WEB|RS NationalSMSBundle60|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||13/06/2019 11:54:13:000|13/06/2019 12:26:18:000||14/07/2019 12:26:18:000|active|Renewal||active||1|13007422233619158|Your SMS bundle has been renewed.||||||||||||||||||Bundle|SMS1 Monthly Fee|BundleSMS1|EntBndlSMS2Renew||||||false|
13/06/2019 12:26:36:294|13007440232646307|13007440232646307|10.95.214.136|AUTACT|971550000383||NACT_AED2DailySlBundle120MB|0|SUCCESS|1001|1447|AED2DailySlBundle120MB|Data|200|200|1 Days|WEB|RS NACT_UAE_Data_1447|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||12/06/2019 12:09:52:000|13/06/2019 12:26:36:000||14/06/2019 12:26:36:000|active|Renewal||active||2|13007440232646307|Your AED 2 Daily Social Bundle 120 MB was successfully renewed. Enjoy 120 MB social data valid for 24 hours. To check your balance anytime, SMS 'Bal' to 1355.||||||||||||||||||Bundle|D_RenewDailySocD_1_R|C_PurchDailySocData_1_R|DailyRecSocData1||||||false|
13/06/2019 12:29:13:285|13007597233111508|13007597233111508|10.95.214.136|AUTACT|971520001700||NACT_Weekly_International_SMS_Bundle|4012|FAILURE|1001|999|Weekly_International_SMS_Bundle|SMS|500|0|7 Days|WEB|RS NACT_UAE_SMS_999||5|2|RS|UAE|ScapV2|true|false||||||||||||13/06/2019 12:04:03:000|13/06/2019 12:29:13:000|13/06/2019 12:16:46:000|23/06/2019 12:16:00:000|grace|Renewal||active|13/06/2019 12:29:13:000|1|13007597233111508|||||||||||||||||||Bundle|D_IntlSMSBundle1_R||PC_InternatWeekly||||||false|
13/06/2019 12:30:00:184|13007644246466156|13007644246466156|10.95.214.136|AUTOEXP_NETWORK|971520000644||DACT_AllValueBundleDaily_Flexi3|0|SUCCESS|1051|1660|AllValueBundleDaily_Flexi3|Combo|200|0|24 Hours|WEB|RS DACT_UAE_Combo_1660||200|2|RS|UAE|ScapV2|true|true||||||||||||12/06/2019 11:36:15:000|14/06/2019 12:30:00:000|||inactive|Adhoc|DeprovisionInProgress|active|13/06/2019 12:30:00:000|0|13007644246466156|Your Request is in Progress,shortly you will receive confirmation.|||||||||||||||||||||||||||false|
13/06/2019 12:30:00:226|159140497152000169|159140497152000169|10.95.214.136|GRACEEXP_NETWORK|971520001696||DACT_NPPVPS_NPPVP1|0|SUCCESS|1005|1469|NPPVPS_NPPVP1|Combo|4000|0|31 Days|WEB|RS DACT_UAE_Combo_1469||5|2|RS|UAE|ScapV2|true|true||||||||||||10/05/2019 12:26:56:000|13/06/2019 12:30:00:000||14/07/2019 12:30:00:000|inactive|Renewal|DeprovisionInProgress|grace|13/06/2019 12:30:00:000|0|159140497152000169|1000 International Minutes with Friends &amp; Family bundles starting from 69 dirhams. Dial *135*90#. Thanks for using du interactive service||||||||||||||||||NPP Value Plans|NPPVP1Optout||NPP VP-1,1||||||false|
13/06/2019 12:30:01:860|13007644246466156|2531934602395|10.95.214.136|DACT|971520000644||DACT_AllValueBundleDaily_Flexi3|0|SUCCESS|1051|1660|AllValueBundleDaily_Flexi3|Combo|200|0|24 Hours|WEB|RS DACT_UAE_Combo_1660||200|2|TIBCO|UAE|ScapV2||true|||||||||||||14/06/2019 12:30:01:000||||Adhoc|DeprovisionFailed|||0|2531934602395|Your UnSubscription request has been successful.|||||||||||||||||||||||||||true|
13/06/2019 12:31:56:513|1560414716204|2531934717940|10.95.214.136|NACT|971520001695||NACT_MenuRedirect2|0|SUCCESS|1001|1807|MenuRedirect2|Others|0|0|1 Days|USSD|*135*77*3*1#||5|2|USSD|UAE|ScapV2||true||||||||||||13/06/2019 12:31:56:000|14/06/2019 12:31:56:000||||Adhoc||||0|2531934717940||||||||||||||||||||||||||||false|
13/06/2019 12:31:56:687|1560414716204|2531934718239|10.95.214.136|NACT|971520001695||NACT_MenuRedirect22|0|SUCCESS|1001|1901|MenuRedirect22|Others|0|0|1 Days|USSD|*135*77*4*2*3*1#||5|2|USSD|UAE|ScapV2||true||||||||||||13/06/2019 12:31:56:000|14/06/2019 12:31:56:000||||Adhoc||||0|2531934718239||||||||||||||||||||||||||||false|
13/06/2019 12:31:57:014|1560414716204|2531934718440|10.95.214.136|NACT|971520001695||NACT_MenuRedirect3|0|SUCCESS|1001|1830|MenuRedirect3|Others|0|0|1 Days|USSD|*135*77*5*2*1#||5|2|USSD|UAE|ScapV2||false||||||||||||13/06/2019 12:31:57:000|14/06/2019 12:31:57:000||||Adhoc||||0|2531934718440||||||||||||||||||||||||||||false|
13/06/2019 12:31:57:079|1560414716204|||USSDBrowsing|971520001695||||||||||||USSD|*135*77*8*2*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:31:59:569|1560414716204|2531934721117|10.95.214.136|NACT|971520001695||NACT_MenuRedirect29|0|SUCCESS|1001|1987|MenuRedirect29|Others|0|0|1 Days|USSD|*135*77*8*2*2*1#||5|2|USSD|UAE|ScapV2||true||||||||||||13/06/2019 12:31:59:000|14/06/2019 12:31:59:000||||Adhoc||||0|2531934721117||||||||||||||||||||||||||||false|
13/06/2019 12:31:59:662|1560414716204|||USSDBrowsing|971520001695||||||||||||USSD|*135*77*13#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:32:04:281|1560414716204|||USSDBrowsing|971520001695||||||||||||USSD|*135*77*13*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
13/06/2019 12:32:07:386|1560414716204|2531934728579|10.95.214.136|RACT|971520001695||RACT_15min750MBAED35Mon|0|SUCCESS|1001|1153|15min750MBAED35Mon|Combo|3500|3500|30 Days|USSD|*135*77*13*2*2#|Reserve-Commit|5|2|USSD|UAE|ScapV2||false|||||||||||||13/07/2019 12:32:07:000||||Renewal||||2|2531934728579|Your request is being processed. You will receive  a confirmation SMS shortly.||||||||||||||||||Bundle|D_PurchMonthCmb_1_R|C_PurchMonthlyCombo_1_R|MonthlyRecCombo1||||||false|
13/06/2019 12:32:07:436|1560414716204|||USSDBrowsing|971520001695||||||||||||USSD|*135*77*13*2*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
